f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9
-0.08421655,-0.13692622,0.14695646,0.03556269,0.0061393115,0.18322675,0.111190565,0.107757024,0.15426728,0.12437286
-0.12637448,-0.016101738,0.14145504,0.11797678,-0.14547464,0.1556145,0.02696478,0.100576624,0.14546914,0.047874715
-0.07377131,-0.14974318,0.15037574,0.044816244,-0.00017387951,0.18446796,0.116841964,0.10143466,0.14909254,0.126549
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.06816746,-0.14528823,0.14804055,0.030428171,0.019080445,0.17950027,0.12382075,0.09318386,0.14018208,0.12978034
-0.076082654,-0.15381722,0.14176293,0.02938179,0.010511886,0.17951666,0.11555268,0.10253777,0.15399629,0.12973881
-0.07932491,-0.15330437,0.13920903,0.033675406,0.005711167,0.18072176,0.122967,0.10063228,0.14619757,0.12980065
-0.07207638,-0.14635178,0.14432722,0.02315418,0.02389242,0.17938498,0.12403145,0.107243635,0.15142123,0.13484034
-0.08987066,-0.14513598,0.1410535,0.038977973,0.003510643,0.18583126,0.115316205,0.10575344,0.14200057,0.12446313
-0.06961591,-0.15544948,0.13877842,0.02476531,0.01989385,0.1830426,0.119983,0.10489691,0.14668186,0.13345553
-0.07367698,-0.14717305,0.15001182,0.030642204,0.015326221,0.17755176,0.12781806,0.09051834,0.14567329,0.13041109
-0.07689511,-0.13970064,0.14452507,0.020118508,0.0063715815,0.18551141,0.14036925,0.09905227,0.1424507,0.13260657
-0.12601286,0.0050318944,0.13851081,0.13642642,-0.16543995,0.16872999,0.006668028,0.09903249,0.12987648,0.041847512
-0.07324912,-0.13310781,0.15381633,0.037302207,-0.0061415746,0.19025485,0.113273054,0.10532923,0.14718218,0.12749133
-0.13366142,-0.02360993,0.14829832,0.11242004,-0.14999518,0.1779492,0.01771877,0.10363265,0.14213833,0.048283912
-0.12687239,-0.09176806,0.17354652,0.079004735,-0.07278612,0.19686165,0.06729714,0.10292813,0.14457804,0.1019353
-0.07431565,-0.12273768,0.12284836,0.05085704,-0.010779462,0.18728626,0.12030572,0.10522745,0.17485015,0.11393629
-0.103188306,-0.12905161,0.13286568,0.080417015,-0.04113765,0.1715527,0.12812646,0.11066137,0.1704004,0.11762111
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.13945644,-0.021779537,0.15704279,0.12006257,-0.14994127,0.17025964,0.017297285,0.101333015,0.14397864,0.051114623
-0.07780574,-0.14923051,0.1430068,0.027105922,0.0072490643,0.18391389,0.118383095,0.10268053,0.14835067,0.1346344
-0.05997515,-0.15249002,0.12746727,0.033683874,0.026741166,0.17198305,0.14327013,0.096651964,0.13991515,0.14389662
-0.13996004,-0.011290931,0.13661471,0.124331325,-0.1537382,0.16266948,0.021733748,0.097820275,0.14346191,0.057626247
-0.124845915,-0.040424075,0.15025038,0.08716,-0.11599847,0.16820899,0.04559753,0.13872163,0.18257082,0.07994541
-0.07806297,-0.14085506,0.1504019,0.046875183,-0.020192955,0.1902843,0.11309556,0.09345108,0.14674038,0.1351864
-0.1187529,-0.072379254,0.15024802,0.08509733,-0.09646224,0.18168175,0.070686966,0.08703024,0.15398617,0.077045
-0.05432776,-0.15872131,0.12194308,0.021336643,0.045912594,0.1478206,0.15375206,0.085575126,0.12358321,0.15006681
-0.077865355,-0.15067342,0.14616333,0.023254639,0.01446046,0.17900965,0.12129953,0.10404424,0.14568636,0.13154823
-0.07763831,-0.14622581,0.14211042,0.028004766,0.004127992,0.18096092,0.12386823,0.09632491,0.14479297,0.13358013
-0.16116703,-0.018472243,0.1646588,0.1206496,-0.15354171,0.17271717,0.03594442,0.10248968,0.12303622,0.060161803
-0.1263309,0.011162418,0.14689861,0.13264479,-0.16241373,0.15489073,0.0060213148,0.10565052,0.1354025,0.030703941
-0.11720558,-0.019110685,0.13516094,0.11222872,-0.12195831,0.18440498,0.035828132,0.10927842,0.15249959,0.057089474
-0.13217074,-0.010114083,0.13759756,0.119579315,-0.16192126,0.17195143,0.0246826,0.1047708,0.14747028,0.048628606
-0.0657353,-0.11930166,0.13108212,0.023976376,-0.021602014,0.18526012,0.10795775,0.12565942,0.18796156,0.12926924
-0.07766816,-0.14699699,0.14406623,0.027172625,0.00074486696,0.1850862,0.12189395,0.09650273,0.14472541,0.13794057
-0.11795855,-0.0272751,0.14708078,0.1167404,-0.14199074,0.16799517,0.04034039,0.11633957,0.15455128,0.04988437
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.08946102,-0.13737135,0.14752224,0.035160586,-0.0034723703,0.18441129,0.11372333,0.10294675,0.15371698,0.12390121
-0.115084805,-0.043971937,0.1548939,0.12028524,-0.13223746,0.15037037,0.020274164,0.1012016,0.14966965,0.027150882
-0.13121244,0.008365801,0.12897243,0.11696141,-0.18073562,0.16063866,0.015166869,0.105773136,0.14726637,0.033871572
-0.09840497,-0.107982665,0.15285589,0.06578259,-0.05600716,0.18343744,0.06442247,0.09911502,0.16104577,0.10490437
-0.080953814,-0.13922909,0.15087642,0.047649983,-0.0038271844,0.18611073,0.10097984,0.1022573,0.15622886,0.11428851
-0.07350224,-0.15650217,0.13833421,0.020126915,0.015731193,0.17965382,0.123972505,0.10004268,0.14626798,0.13746762
-0.11793063,-0.00783653,0.16410549,0.1258484,-0.16197018,0.15312661,-0.0011547694,0.090880334,0.14226454,0.02114307
-0.0765919,-0.14505306,0.15238535,0.038705662,0.004396868,0.1884266,0.11425494,0.093429916,0.14598516,0.12809692
-0.13854548,0.0098989485,0.1406225,0.13063574,-0.1660397,0.15181231,-0.005392755,0.100337096,0.1334623,0.025020778
-0.095618546,-0.13320428,0.15243308,0.053358234,-0.03223029,0.18774511,0.10251962,0.10137542,0.14408462,0.12802579
-0.12838197,-0.0009953107,0.15021513,0.13066307,-0.1470265,0.1606454,-0.004040327,0.11404143,0.14800064,0.030230997
-0.119925246,-0.05215583,0.16655324,0.1097204,-0.140595,0.15165147,0.05387701,0.10205409,0.14346462,0.073022716
-0.14406225,-0.008698956,0.13809095,0.12687938,-0.15248713,0.16318157,-0.00036555954,0.08927738,0.13592297,0.037404567
-0.13401575,0.0037760087,0.14866701,0.13271365,-0.17731124,0.1531442,-0.013179638,0.09476215,0.13722657,0.01824718
-0.0877036,-0.14219083,0.14577952,0.049734768,-0.0076530073,0.17874527,0.11971903,0.08330683,0.14582255,0.1380607
-0.12824109,-0.0061441665,0.14765753,0.12900521,-0.17620338,0.15408488,-0.0038443524,0.09930131,0.1364515,0.030305048
-0.1315253,-0.012574912,0.15393575,0.12454451,-0.16664596,0.15468183,0.002283542,0.09758153,0.13895787,0.033437982
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.06397517,-0.17041253,0.12987873,0.019740608,0.019336475,0.17474939,0.13080883,0.107617065,0.1400665,0.14231858
-0.13723327,0.021970354,0.13952753,0.12932664,-0.17014982,0.15647545,-0.017011952,0.08754346,0.12559585,0.020855347
-0.120783366,-0.08365473,0.17209685,0.0757657,-0.07440967,0.19750844,0.060275882,0.110029474,0.15950617,0.09433372
-0.12771606,0.020568483,0.14135182,0.12534909,-0.17836991,0.1553854,-1.40743805e-05,0.10384405,0.13781992,0.024137985
-0.12392938,-0.014544996,0.15398864,0.13405377,-0.1696597,0.15131149,-0.004889161,0.09759933,0.13299759,0.028808106
-0.1353055,-0.020889275,0.16586459,0.13152394,-0.1660614,0.15174533,0.0044498774,0.102192394,0.15090325,0.03178496
-0.059138354,-0.1621172,0.13349412,0.016976349,0.035701577,0.18619202,0.119305894,0.0900571,0.13932754,0.13581526
-0.14741793,0.009244869,0.13596599,0.12533407,-0.16478726,0.1474725,0.0028045918,0.09257868,0.13952279,0.035575185
-0.06722095,-0.11681502,0.13439783,0.046137758,-0.025120439,0.20323737,0.101867944,0.09235278,0.17281705,0.11097361
-0.15208016,0.015358813,0.15064979,0.13317512,-0.1731026,0.15987024,-0.024751265,0.10009647,0.12558766,0.035170596
-0.09383319,-0.12110723,0.15903176,0.055617575,-0.03409673,0.18349732,0.10698642,0.11444192,0.1536671,0.11749382
-0.14503896,-0.013830881,0.15615955,0.12597375,-0.1595013,0.16540577,0.023296393,0.101323694,0.12768064,0.053676087
-0.14753631,0.013490469,0.13664283,0.1281514,-0.17797022,0.15662247,-0.0074670664,0.09368102,0.12985747,0.028356707
-0.1285874,-0.026531197,0.15013114,0.13793519,-0.15924686,0.16850679,-0.006063488,0.10881166,0.14965783,0.028003635
-0.083045885,-0.08264614,0.12447143,0.044257864,-0.06354537,0.18722737,0.1052073,0.13936405,0.19149473,0.10545955
-0.10668441,-0.11285526,0.15561424,0.0658741,-0.02825072,0.18711118,0.08967948,0.10633062,0.1619101,0.10867187
-0.09640593,-0.13152194,0.14955814,0.041348305,-0.019817935,0.1844525,0.095668964,0.11116953,0.1564796,0.1195373
